;Scopy version,dda5ec6
;Exported on,Friday January 14/01/2022
;Device,M2K
;Nr of samples,3200
;Sample rate,1e+06
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
515,-0.001085,-0.4964,-0.507604
516,-0.001084,-0.4964,-0.507604
517,-0.001083,-0.497919,-0.509122
518,-0.001082,-0.497919,-0.507604
519,-0.001081,-0.497919,-0.507604
520,-0.00108,-0.497919,-0.507604
521,-0.001079,-0.497919,-0.507604
522,-0.001078,-0.497919,-0.507604
523,-0.001077,-0.497919,-0.507604
524,-0.001076,-0.497919,-0.507604
525,-0.001075,-0.497919,-0.507604
526,-0.001074,-0.497919,-0.507604
527,-0.001073,-0.497919,-0.507604
528,-0.001072,-0.497919,-0.507604
529,-0.001071,-0.497919,-0.509122
530,-0.00107,-0.497919,-0.507604
531,-0.001069,-0.497919,-0.501532
532,-0.001068,-0.497919,-0.569844
533,-0.001067,-0.4964,0.255972
534,-0.001066,-0.487292,0.477606
535,-0.001065,-0.478184,0.491269
536,-0.001064,-0.46604,0.489751
537,-0.001063,-0.456931,0.489751
538,-0.001062,-0.446305,0.492787
539,-0.001061,-0.440233,0.489751
540,-0.00106,-0.428088,0.489751
541,-0.001059,-0.420498,0.491269
542,-0.001058,-0.41139,0.489751
543,-0.001057,-0.400764,0.489751
544,-0.001056,-0.394692,0.489751
545,-0.001055,-0.382547,0.489751
546,-0.001054,-0.374957,0.491269
547,-0.001053,-0.365849,0.491269
548,-0.001052,-0.358258,0.491269
549,-0.001051,-0.34915,0.489751
550,-0.00105,-0.340042,0.489751
551,-0.001049,-0.330934,0.491269
552,-0.001048,-0.323343,0.491269
553,-0.001047,-0.315753,0.491269
554,-0.001046,-0.308163,0.491269
555,-0.001045,-0.299055,0.489751
556,-0.001044,-0.292983,0.491269
557,-0.001043,-0.282356,0.491269
558,-0.001042,-0.274766,0.491269
559,-0.001041,-0.268694,0.491269
560,-0.00104,-0.259586,0.489751
561,-0.001039,-0.253513,0.492787
562,-0.001038,-0.244405,0.491269
563,-0.001037,-0.238333,0.492787
564,-0.001036,-0.229225,0.491269
565,-0.001035,-0.223153,0.491269
566,-0.001034,-0.214044,0.489751
567,-0.001033,-0.207972,0.492787
568,-0.001032,-0.200382,0.491269
569,-0.001031,-0.19431,0.492787
570,-0.00103,-0.186719,0.491269
571,-0.001029,-0.180647,0.491269
572,-0.001028,-0.174575,0.492787
573,-0.001027,-0.165467,0.489751
574,-0.001026,-0.159395,0.492787
575,-0.001025,-0.153322,0.492787
576,-0.001024,-0.14725,0.489751
577,-0.001023,-0.13966,0.492787
578,-0.001022,-0.135106,0.491269
579,-0.001021,-0.125998,0.491269
580,-0.00102,-0.122962,0.492787
581,-0.001019,-0.115371,0.491269
582,-0.001018,-0.109299,0.491269
583,-0.001017,-0.103227,0.491269
584,-0.001016,-0.0986729,0.492787
585,-0.001015,-0.0910827,0.492787
586,-0.001014,-0.0850105,0.492787
587,-0.001013,-0.0774203,0.495823
588,-0.001012,-0.0743842,0.492787
589,-0.001011,-0.0652759,0.494305
590,-0.00101,-0.0622398,0.492787
591,-0.001009,-0.0546496,0.492787
592,-0.001008,-0.0516135,0.492787
593,-0.001007,-0.0455413,0.492787
594,-0.001006,-0.0409872,0.494305
595,-0.001005,-0.0364331,0.494305
596,-0.001004,-0.0288428,0.494305
597,-0.001003,-0.0258068,0.494305
598,-0.001002,-0.0197346,0.494305
599,-0.001001,-0.0136624,0.494305
600,-0.001,-0.00910827,0.494305
601,-0.000999,-0.00303609,0.494305
602,-0.000998,0.00151804,0.494305
603,-0.000997,0.00607218,0.494305
604,-0.000996,0.0121444,0.494305
605,-0.000995,0.0151804,0.495823
606,-0.000994,0.0197346,0.492787
607,-0.000993,0.0258068,0.494305
608,-0.000992,0.0303609,0.497341
609,-0.000991,0.034915,0.492787
610,-0.00099,0.0394692,0.495823
611,-0.000989,0.0455413,0.495823
612,-0.000988,0.0500955,0.494305
613,-0.000987,0.0531316,0.494305
614,-0.000986,0.0561676,0.494305
615,-0.000985,0.0607218,0.494305
616,-0.000984,0.0667939,0.495823
617,-0.000983,0.068312,0.492787
618,-0.000982,0.0743842,0.495823
619,-0.000981,0.0804563,0.494305
620,-0.00098,0.0819744,0.494305
621,-0.000979,0.0880466,0.495823
622,-0.000978,0.0895646,0.494305
623,-0.000977,0.0971548,0.495823
624,-0.000976,0.0986729,0.494305
625,-0.000975,0.103227,0.495823
626,-0.000974,0.106263,0.495823
627,-0.000973,0.110817,0.495823
628,-0.000972,0.113853,0.495823
629,-0.000971,0.116889,0.495823
630,-0.00097,0.121444,0.495823
631,-0.000969,0.127516,0.495823
632,-0.000968,0.129034,0.495823
